center_id,ts_bucket,agents_scheduled,agents_logged_in,shrinkage_pct,sla_target_sec
SC-101,2026-07-03 08:00:00,31.54,24.6,22.02,60.0
SC-101,2026-07-03 08:30:00,46.68,33.38,28.51,60.0
SC-101,2026-07-03 09:00:00,49.65,36.92,25.63,60.0
SC-101,2026-07-03 09:30:00,60.9,44.68,26.63,60.0
SC-101,2026-07-03 10:00:00,70.49,47.28,32.92,60.0
SC-101,2026-07-03 10:30:00,71.28,49.95,29.93,60.0
SC-101,2026-07-03 11:00:00,62.93,47.49,24.53,60.0
SC-101,2026-07-03 11:30:00,68.73,49.45,28.05,60.0
SC-101,2026-07-03 12:00:00,67.75,51.07,24.62,60.0
SC-101,2026-07-03 12:30:00,56.6,39.91,29.5,60.0
SC-101,2026-07-03 13:00:00,58.75,44.65,24.0,60.0
SC-101,2026-07-03 13:30:00,67.43,43.81,35.03,60.0
SC-101,2026-07-03 14:00:00,46.82,36.48,22.08,60.0
SC-101,2026-07-03 14:30:00,51.98,36.81,29.19,60.0
SC-101,2026-07-03 15:00:00,44.98,32.12,28.6,60.0
SC-101,2026-07-03 15:30:00,48.67,33.51,31.16,60.0
SC-101,2026-07-03 16:00:00,44.96,32.21,28.36,60.0
SC-101,2026-07-03 16:30:00,37.62,27.65,26.5,60.0
SC-101,2026-07-03 17:00:00,38.77,25.98,32.99,60.0
SC-101,2026-07-03 17:30:00,29.78,22.05,25.96,60.0
SC-101,2026-07-03 18:00:00,30.88,21.33,30.91,60.0
SC-101,2026-07-03 18:30:00,27.84,19.52,29.87,60.0
SC-101,2026-07-03 19:00:00,23.38,16.59,29.02,60.0
SC-101,2026-07-03 19:30:00,25.43,16.67,34.44,60.0
SC-101,2026-07-03 20:00:00,18.01,13.66,24.13,60.0
SC-101,2026-07-03 20:30:00,17.67,12.17,31.15,60.0
SC-101,2026-07-03 21:00:00,14.75,11.07,24.95,60.0
SC-101,2026-07-03 21:30:00,13.82,9.77,29.26,60.0
SC-101,2026-07-03 22:00:00,12.99,9.18,29.34,60.0
SC-101,2026-07-03 22:30:00,13.92,9.48,31.88,60.0
SC-101,2026-07-03 23:00:00,11.94,8.89,25.51,60.0
SC-101,2026-07-03 23:30:00,13.3,8.89,33.17,60.0
SC-101,2026-07-04 00:00:00,8.75,6.8,22.27,60.0
SC-101,2026-07-04 00:30:00,8.8,6.68,24.05,60.0
SC-101,2026-07-04 01:00:00,9.33,6.9,26.02,60.0
SC-101,2026-07-04 01:30:00,10.48,7.09,32.4,60.0
SC-101,2026-07-04 02:00:00,8.45,6.55,22.59,60.0
SC-101,2026-07-04 02:30:00,9.4,6.76,28.11,60.0
SC-101,2026-07-04 03:00:00,9.79,7.16,26.89,60.0
SC-101,2026-07-04 03:30:00,9.93,7.31,26.33,60.0
SC-101,2026-07-04 04:00:00,9.2,6.69,27.28,60.0
SC-101,2026-07-04 04:30:00,9.02,6.79,24.73,60.0
SC-101,2026-07-04 05:00:00,11.11,7.85,29.35,60.0
SC-101,2026-07-04 05:30:00,11.19,8.38,25.06,60.0
SC-101,2026-07-04 06:00:00,14.61,10.09,30.93,60.0
SC-101,2026-07-04 06:30:00,14.5,10.65,26.58,60.0
SC-101,2026-07-04 07:00:00,15.08,11.23,25.56,60.0
SC-101,2026-07-04 07:30:00,22.82,15.38,32.6,60.0
SC-101,2026-07-04 08:00:00,25.77,19.21,25.45,60.0
SC-101,2026-07-04 08:30:00,28.42,21.77,23.41,60.0
SC-101,2026-07-04 09:00:00,37.24,24.93,33.07,60.0
SC-101,2026-07-04 09:30:00,47.57,33.9,28.73,60.0
SC-101,2026-07-04 10:00:00,44.12,30.29,31.34,60.0
SC-101,2026-07-04 10:30:00,47.17,34.64,26.56,60.0
SC-101,2026-07-04 11:00:00,48.47,34.04,29.77,60.0
SC-101,2026-07-04 11:30:00,51.65,37.3,27.77,60.0
SC-101,2026-07-04 12:00:00,40.59,28.78,29.1,60.0
SC-101,2026-07-04 12:30:00,48.65,33.24,31.66,60.0
SC-101,2026-07-04 13:00:00,47.83,34.12,28.68,60.0
SC-101,2026-07-04 13:30:00,37.46,28.86,22.95,60.0
SC-101,2026-07-04 14:00:00,39.49,29.43,25.47,60.0
SC-101,2026-07-04 14:30:00,38.83,29.87,23.08,60.0
SC-101,2026-07-04 15:00:00,37.52,27.55,26.56,60.0
SC-101,2026-07-04 15:30:00,36.83,24.51,33.45,60.0
SC-101,2026-07-04 16:00:00,32.75,23.41,28.5,60.0
SC-101,2026-07-04 16:30:00,25.55,19.77,22.62,60.0
SC-101,2026-07-04 17:00:00,25.28,19.36,23.43,60.0
SC-101,2026-07-04 17:30:00,26.2,18.21,30.48,60.0
SC-101,2026-07-04 18:00:00,21.28,15.71,26.17,60.0
SC-101,2026-07-04 18:30:00,19.61,13.87,29.25,60.0
SC-101,2026-07-04 19:00:00,19.23,14.0,27.21,60.0
SC-101,2026-07-04 19:30:00,13.27,10.15,23.47,60.0
SC-101,2026-07-04 20:00:00,15.31,10.19,33.46,60.0
SC-101,2026-07-04 20:30:00,11.45,8.42,26.48,60.0
SC-101,2026-07-04 21:00:00,11.03,7.82,29.07,60.0
SC-101,2026-07-04 21:30:00,11.07,8.05,27.3,60.0
SC-101,2026-07-04 22:00:00,9.8,7.23,26.28,60.0
SC-101,2026-07-04 22:30:00,11.55,7.55,34.64,60.0
SC-101,2026-07-04 23:00:00,9.7,6.65,31.45,60.0
SC-101,2026-07-04 23:30:00,11.45,7.26,36.61,60.0
SC-101,2026-07-05 00:00:00,27.7,18.76,32.25,60.0
SC-101,2026-07-05 00:30:00,25.76,18.36,28.7,60.0
SC-101,2026-07-05 01:00:00,30.7,21.75,29.15,60.0
SC-101,2026-07-05 01:30:00,26.57,19.0,28.5,60.0
SC-101,2026-07-05 02:00:00,26.79,19.62,26.74,60.0
SC-101,2026-07-05 02:30:00,30.07,21.43,28.72,60.0
SC-101,2026-07-05 03:00:00,28.34,19.96,29.56,60.0
SC-101,2026-07-05 03:30:00,26.0,19.24,26.0,60.0
SC-101,2026-07-05 04:00:00,27.91,19.95,28.52,60.0
SC-101,2026-07-05 04:30:00,30.69,20.96,31.7,60.0
SC-101,2026-07-05 05:00:00,31.01,22.44,27.63,60.0
SC-101,2026-07-05 05:30:00,37.75,27.21,27.92,60.0
SC-101,2026-07-05 06:00:00,36.14,28.07,22.34,60.0
SC-101,2026-07-05 06:30:00,50.98,34.82,31.7,60.0
SC-101,2026-07-05 07:00:00,61.77,43.26,29.96,60.0
SC-101,2026-07-05 07:30:00,70.92,48.77,31.23,60.0
SC-101,2026-07-05 08:00:00,74.37,58.14,21.82,60.0
SC-101,2026-07-05 08:30:00,110.74,77.84,29.7,60.0
SC-101,2026-07-05 09:00:00,127.63,94.47,25.98,60.0
SC-101,2026-07-05 09:30:00,150.98,103.53,31.43,60.0
SC-101,2026-07-05 10:00:00,136.76,98.89,27.69,60.0
SC-101,2026-07-05 10:30:00,161.68,117.99,27.02,60.0
SC-101,2026-07-05 11:00:00,180.81,127.31,29.59,60.0
SC-101,2026-07-05 11:30:00,156.17,115.64,25.95,60.0
SC-101,2026-07-05 12:00:00,160.47,111.31,30.63,60.0
SC-101,2026-07-05 12:30:00,146.01,109.47,25.03,60.0
SC-101,2026-07-05 13:00:00,158.02,111.51,29.43,60.0
SC-101,2026-07-05 13:30:00,128.12,93.59,26.95,60.0
SC-101,2026-07-05 14:00:00,146.66,100.51,31.46,60.0
SC-101,2026-07-05 14:30:00,109.8,74.01,32.59,60.0
SC-101,2026-07-05 15:00:00,122.6,82.88,32.4,60.0
SC-101,2026-07-05 15:30:00,103.3,68.14,34.03,60.0
SC-101,2026-07-05 16:00:00,114.79,73.76,35.74,60.0
SC-101,2026-07-05 16:30:00,92.39,65.99,28.57,60.0
SC-101,2026-07-05 17:00:00,102.22,70.96,30.58,60.0
SC-101,2026-07-05 17:30:00,82.71,59.18,28.45,60.0
SC-101,2026-07-05 18:00:00,63.24,47.69,24.59,60.0
SC-101,2026-07-05 18:30:00,65.23,45.44,30.34,60.0
SC-101,2026-07-05 19:00:00,54.48,39.51,27.48,60.0
SC-101,2026-07-05 19:30:00,45.83,33.09,27.8,60.0
SC-101,2026-07-05 20:00:00,40.53,29.48,27.26,60.0
SC-101,2026-07-05 20:30:00,34.83,25.98,25.41,60.0
SC-101,2026-07-05 21:00:00,28.38,21.12,25.57,60.0
SC-101,2026-07-05 21:30:00,31.54,22.5,28.66,60.0
SC-101,2026-07-05 22:00:00,32.84,22.67,30.97,60.0
SC-101,2026-07-05 22:30:00,31.71,22.09,30.32,60.0
SC-101,2026-07-05 23:00:00,26.33,19.64,25.42,60.0
SC-101,2026-07-05 23:30:00,28.93,20.08,30.6,60.0
SC-101,2026-07-06 00:00:00,23.99,17.87,25.51,60.0
SC-101,2026-07-06 00:30:00,20.51,15.35,25.17,60.0
SC-101,2026-07-06 01:00:00,25.54,20.02,21.58,60.0
SC-101,2026-07-06 01:30:00,23.4,16.23,30.65,60.0
SC-101,2026-07-06 02:00:00,23.03,16.23,29.5,60.0
SC-101,2026-07-06 02:30:00,23.76,16.39,31.01,60.0
SC-101,2026-07-06 03:00:00,24.63,16.85,31.6,60.0
SC-101,2026-07-06 03:30:00,21.84,16.92,22.55,60.0
SC-101,2026-07-06 04:00:00,24.82,18.29,26.31,60.0
SC-101,2026-07-06 04:30:00,26.08,18.75,28.1,60.0
SC-101,2026-07-06 05:00:00,27.08,18.98,29.93,60.0
SC-101,2026-07-06 05:30:00,27.73,20.9,24.61,60.0
SC-101,2026-07-06 06:00:00,30.36,22.57,25.68,60.0
SC-101,2026-07-06 06:30:00,34.25,26.39,22.97,60.0
SC-101,2026-07-06 07:00:00,49.22,36.2,26.47,60.0
SC-101,2026-07-06 07:30:00,62.84,43.45,30.85,60.0
SC-101,2026-07-06 08:00:00,69.3,48.39,30.18,60.0
SC-101,2026-07-06 08:30:00,81.95,57.19,30.22,60.0
SC-101,2026-07-06 09:00:00,95.93,70.69,26.31,60.0
SC-101,2026-07-06 09:30:00,113.36,76.34,32.66,60.0
SC-101,2026-07-06 10:00:00,114.36,85.72,25.05,60.0
SC-101,2026-07-06 10:30:00,120.95,90.18,25.44,60.0
SC-101,2026-07-06 11:00:00,148.44,101.3,31.76,60.0
SC-101,2026-07-06 11:30:00,126.3,94.79,24.95,60.0
SC-101,2026-07-06 12:00:00,137.86,87.34,36.64,60.0
SC-101,2026-07-06 12:30:00,131.67,96.35,26.83,60.0
SC-101,2026-07-06 13:00:00,130.32,87.42,32.92,60.0
SC-101,2026-07-06 13:30:00,127.51,92.0,27.85,60.0
SC-101,2026-07-06 14:00:00,126.08,81.82,35.11,60.0
SC-101,2026-07-06 14:30:00,98.86,71.56,27.61,60.0
SC-101,2026-07-06 15:00:00,93.08,68.08,26.85,60.0
SC-101,2026-07-06 15:30:00,99.81,67.1,32.76,60.0
SC-101,2026-07-06 16:00:00,96.63,66.58,31.1,60.0
SC-101,2026-07-06 16:30:00,82.93,55.67,32.87,60.0
SC-101,2026-07-06 17:00:00,75.28,52.27,30.57,60.0
SC-101,2026-07-06 17:30:00,69.34,48.74,29.7,60.0
SC-101,2026-07-06 18:00:00,66.43,49.36,25.7,60.0
SC-101,2026-07-06 18:30:00,48.5,34.62,28.63,60.0
SC-101,2026-07-06 19:00:00,52.64,37.37,29.01,60.0
SC-101,2026-07-06 19:30:00,41.0,29.41,28.27,60.0
SC-101,2026-07-06 20:00:00,39.55,27.86,29.56,60.0
SC-101,2026-07-06 20:30:00,30.03,23.44,21.97,60.0
SC-101,2026-07-06 21:00:00,37.22,22.53,39.48,60.0
SC-101,2026-07-06 21:30:00,30.1,20.37,32.33,60.0
SC-101,2026-07-06 22:00:00,24.36,17.34,28.82,60.0
SC-101,2026-07-06 22:30:00,25.09,18.75,25.29,60.0
SC-101,2026-07-06 23:00:00,24.57,17.96,26.88,60.0
SC-101,2026-07-06 23:30:00,24.1,17.16,28.83,60.0
SC-101,2026-07-07 00:00:00,24.52,17.41,29.0,60.0
SC-101,2026-07-07 00:30:00,23.76,16.56,30.28,60.0
SC-101,2026-07-07 01:00:00,23.12,16.3,29.49,60.0
SC-101,2026-07-07 01:30:00,20.17,15.77,21.83,60.0
SC-101,2026-07-07 02:00:00,26.13,18.02,31.05,60.0
SC-101,2026-07-07 02:30:00,24.09,16.21,32.71,60.0
SC-101,2026-07-07 03:00:00,26.69,16.84,36.93,60.0
SC-101,2026-07-07 03:30:00,24.37,17.41,28.56,60.0
SC-101,2026-07-07 04:00:00,23.35,16.19,30.68,60.0
SC-101,2026-07-07 04:30:00,24.38,17.54,28.07,60.0
SC-101,2026-07-07 05:00:00,24.72,18.2,26.36,60.0
SC-101,2026-07-07 05:30:00,27.31,20.47,25.03,60.0
SC-101,2026-07-07 06:00:00,36.87,25.81,30.0,60.0
SC-101,2026-07-07 06:30:00,36.42,25.5,30.0,60.0
SC-101,2026-07-07 07:00:00,43.71,32.79,24.98,60.0
SC-101,2026-07-07 07:30:00,58.38,43.33,25.78,60.0
SC-101,2026-07-07 08:00:00,77.49,56.55,27.03,60.0
SC-101,2026-07-07 08:30:00,92.74,58.89,36.5,60.0
SC-101,2026-07-07 09:00:00,91.81,65.3,28.88,60.0
SC-101,2026-07-07 09:30:00,103.24,77.65,24.78,60.0
SC-101,2026-07-07 10:00:00,129.71,92.84,28.42,60.0
SC-101,2026-07-07 10:30:00,138.67,90.55,34.7,60.0
SC-101,2026-07-07 11:00:00,143.24,103.15,27.98,60.0
SC-101,2026-07-07 11:30:00,123.9,89.96,27.39,60.0
SC-101,2026-07-07 12:00:00,128.41,91.99,28.36,60.0
SC-101,2026-07-07 12:30:00,123.91,95.15,23.21,60.0
SC-101,2026-07-07 13:00:00,122.49,84.69,30.86,60.0
SC-101,2026-07-07 13:30:00,97.2,73.9,23.96,60.0
SC-101,2026-07-07 14:00:00,96.21,67.61,29.73,60.0
SC-101,2026-07-07 14:30:00,95.91,71.9,25.03,60.0
SC-101,2026-07-07 15:00:00,86.96,62.56,28.06,60.0
SC-101,2026-07-07 15:30:00,100.3,64.74,35.46,60.0
SC-101,2026-07-07 16:00:00,86.29,59.9,30.58,60.0
SC-101,2026-07-07 16:30:00,83.02,54.9,33.87,60.0
SC-101,2026-07-07 17:00:00,83.49,54.27,35.0,60.0
SC-101,2026-07-07 17:30:00,65.3,46.47,28.83,60.0
SC-101,2026-07-07 18:00:00,64.59,42.0,34.97,60.0
SC-101,2026-07-07 18:30:00,44.4,31.64,28.75,60.0
SC-101,2026-07-07 19:00:00,45.88,31.96,30.34,60.0
SC-101,2026-07-07 19:30:00,40.04,29.57,26.15,60.0
SC-101,2026-07-07 20:00:00,38.18,25.27,33.8,60.0
SC-101,2026-07-07 20:30:00,29.96,20.47,31.69,60.0
SC-101,2026-07-07 21:00:00,29.89,23.26,22.18,60.0
SC-101,2026-07-07 21:30:00,25.38,18.93,25.43,60.0
SC-101,2026-07-07 22:00:00,25.53,18.14,28.93,60.0
SC-101,2026-07-07 22:30:00,24.7,17.69,28.38,60.0
SC-101,2026-07-07 23:00:00,22.13,16.87,23.76,60.0
SC-101,2026-07-07 23:30:00,21.46,15.63,27.17,60.0
SC-101,2026-07-08 00:00:00,26.07,17.45,33.06,60.0
SC-101,2026-07-08 00:30:00,23.48,17.67,24.72,60.0
SC-101,2026-07-08 01:00:00,24.58,18.63,24.19,60.0
SC-101,2026-07-08 01:30:00,24.45,17.01,30.42,60.0
SC-101,2026-07-08 02:00:00,24.6,18.57,24.52,60.0
SC-101,2026-07-08 02:30:00,22.84,17.14,24.96,60.0
SC-101,2026-07-08 03:00:00,23.93,16.88,29.44,60.0
SC-101,2026-07-08 03:30:00,27.05,18.67,30.99,60.0
SC-101,2026-07-08 04:00:00,24.78,18.44,25.6,60.0
SC-101,2026-07-08 04:30:00,26.25,18.67,28.89,60.0
SC-101,2026-07-08 05:00:00,26.06,19.91,23.6,60.0
SC-101,2026-07-08 05:30:00,32.5,22.53,30.67,60.0
SC-101,2026-07-08 06:00:00,31.88,23.38,26.66,60.0
SC-101,2026-07-08 06:30:00,46.52,33.59,27.8,60.0
SC-101,2026-07-08 07:00:00,49.99,36.44,27.1,60.0
SC-101,2026-07-08 07:30:00,67.94,44.26,34.85,60.0
SC-101,2026-07-08 08:00:00,70.84,53.55,24.41,60.0
SC-101,2026-07-08 08:30:00,88.01,64.56,26.65,60.0
SC-101,2026-07-08 09:00:00,104.21,80.23,23.01,60.0
SC-101,2026-07-08 09:30:00,119.85,83.98,29.93,60.0
SC-101,2026-07-08 10:00:00,137.87,101.47,26.4,60.0
SC-101,2026-07-08 10:30:00,149.42,106.67,28.61,60.0
SC-101,2026-07-08 11:00:00,155.64,106.66,31.47,60.0
SC-101,2026-07-08 11:30:00,142.21,99.11,30.31,60.0
SC-101,2026-07-08 12:00:00,141.67,100.2,29.27,60.0
