center_id,ts_bucket,channel,offered,handled,abandoned,aht_sec,wait_sec,resolved_first_contact
SC-101,2026-06-30 09:30:00,phone,263.4,39.7,223.69,364.8,482.4,23.58
SC-101,2026-06-30 09:30:00,web,77.47,75.21,2.26,209.5,52.1,57.35
SC-101,2026-06-30 09:30:00,whatsapp,65.85,62.99,2.86,196.0,22.2,41.81
SC-101,2026-06-30 09:30:00,email,46.48,44.24,2.24,234.0,33.2,31.99
SC-101,2026-06-30 09:30:00,forms,30.99,29.75,1.23,221.8,27.8,20.87
SC-101,2026-06-30 09:30:00,chat,42.61,40.03,2.58,244.3,21.9,29.76
SC-101,2026-06-30 10:00:00,phone,216.54,215.98,0.57,416.4,0.5,131.18
SC-101,2026-06-30 10:00:00,web,63.69,61.63,2.06,208.3,70.3,45.28
SC-101,2026-06-30 10:00:00,whatsapp,54.14,52.58,1.55,258.1,59.7,38.24
SC-101,2026-06-30 10:00:00,email,38.21,37.11,1.1,238.8,55.7,25.83
SC-101,2026-06-30 10:00:00,forms,25.48,24.45,1.02,225.2,42.5,16.44
SC-101,2026-06-30 10:00:00,chat,35.03,34.77,0.26,221.1,24.1,25.22
SC-101,2026-06-30 10:30:00,phone,224.76,224.38,0.38,382.5,0.4,124.75
SC-101,2026-06-30 10:30:00,web,66.1,63.6,2.5,233.9,31.2,46.89
SC-101,2026-06-30 10:30:00,whatsapp,56.19,54.13,2.06,255.7,43.7,39.26
SC-101,2026-06-30 10:30:00,email,39.66,38.95,0.71,202.1,31.0,28.16
SC-101,2026-06-30 10:30:00,forms,26.44,25.68,0.76,200.8,91.2,17.58
SC-101,2026-06-30 10:30:00,chat,36.36,34.31,2.05,259.6,2.0,24.64
SC-101,2026-06-30 11:00:00,phone,283.03,237.31,45.72,469.6,38.8,135.69
SC-101,2026-06-30 11:00:00,web,83.24,81.01,2.23,228.7,80.3,58.0
SC-101,2026-06-30 11:00:00,whatsapp,70.76,67.52,3.24,234.9,50.7,46.22
SC-101,2026-06-30 11:00:00,email,49.95,47.65,2.3,183.9,67.8,33.46
SC-101,2026-06-30 11:00:00,forms,33.3,31.61,1.69,197.6,66.5,22.35
SC-101,2026-06-30 11:00:00,chat,45.78,43.9,1.88,188.8,40.5,30.65
SC-101,2026-06-30 11:30:00,phone,277.54,246.58,30.95,455.7,20.6,153.08
SC-101,2026-06-30 11:30:00,web,81.63,76.97,4.66,246.3,70.8,57.98
SC-101,2026-06-30 11:30:00,whatsapp,69.38,66.9,2.48,215.3,77.1,49.7
SC-101,2026-06-30 11:30:00,email,48.98,46.74,2.24,223.3,43.0,33.53
SC-101,2026-06-30 11:30:00,forms,32.65,31.43,1.22,244.1,17.8,23.34
SC-101,2026-06-30 11:30:00,chat,44.9,43.27,1.63,213.6,8.3,31.08
SC-101,2026-06-30 12:00:00,phone,278.34,245.09,33.24,388.9,29.0,147.42
SC-101,2026-06-30 12:00:00,web,81.86,79.28,2.58,202.8,39.5,53.14
SC-101,2026-06-30 12:00:00,whatsapp,69.58,67.96,1.63,250.4,20.1,46.75
SC-101,2026-06-30 12:00:00,email,49.12,47.37,1.75,228.1,48.0,33.5
SC-101,2026-06-30 12:00:00,forms,32.75,32.66,0.09,223.0,44.5,23.47
SC-101,2026-06-30 12:00:00,chat,45.03,43.81,1.22,224.8,44.4,32.07
SC-101,2026-06-30 12:30:00,phone,230.97,228.18,2.79,428.6,2.6,135.31
SC-101,2026-06-30 12:30:00,web,67.93,66.59,1.34,225.6,24.7,49.67
SC-101,2026-06-30 12:30:00,whatsapp,57.74,55.69,2.05,217.3,27.0,41.7
SC-101,2026-06-30 12:30:00,email,40.76,40.12,0.64,182.0,61.4,27.49
SC-101,2026-06-30 12:30:00,forms,27.17,26.54,0.64,239.7,20.3,17.68
SC-101,2026-06-30 12:30:00,chat,37.36,36.79,0.57,218.1,30.2,26.65
SC-101,2026-06-30 13:00:00,phone,210.01,209.74,0.27,410.4,0.2,126.89
SC-101,2026-06-30 13:00:00,web,61.77,59.35,2.41,212.9,58.4,40.94
SC-101,2026-06-30 13:00:00,whatsapp,52.5,50.44,2.07,210.3,73.2,33.83
SC-101,2026-06-30 13:00:00,email,37.06,35.74,1.32,257.0,44.0,24.56
SC-101,2026-06-30 13:00:00,forms,24.71,23.12,1.58,222.4,54.6,16.82
SC-101,2026-06-30 13:00:00,chat,33.97,32.34,1.63,238.1,9.2,23.96
SC-101,2026-06-30 13:30:00,phone,231.66,143.06,88.6,362.7,91.3,86.96
SC-101,2026-06-30 13:30:00,web,68.14,66.74,1.4,186.1,74.7,50.19
SC-101,2026-06-30 13:30:00,whatsapp,57.92,56.26,1.66,233.6,52.8,38.05
SC-101,2026-06-30 13:30:00,email,40.88,38.47,2.41,230.9,47.6,28.15
SC-101,2026-06-30 13:30:00,forms,27.25,27.25,0.0,212.6,10.9,18.78
SC-101,2026-06-30 13:30:00,chat,37.47,34.3,3.17,246.3,35.8,23.35
SC-101,2026-06-30 14:00:00,phone,160.16,160.14,0.01,380.9,0.0,98.99
SC-101,2026-06-30 14:00:00,web,47.11,45.44,1.67,237.4,33.5,31.71
SC-101,2026-06-30 14:00:00,whatsapp,40.04,38.58,1.46,192.5,22.2,28.25
SC-101,2026-06-30 14:00:00,email,28.26,27.43,0.83,230.1,45.9,19.27
SC-101,2026-06-30 14:00:00,forms,18.84,17.81,1.04,241.4,33.8,11.45
SC-101,2026-06-30 14:00:00,chat,25.91,25.07,0.84,239.4,48.3,19.5
SC-101,2026-06-30 14:30:00,phone,186.79,185.61,1.19,493.0,1.4,112.37
SC-101,2026-06-30 14:30:00,web,54.94,52.86,2.07,260.7,28.4,39.11
SC-101,2026-06-30 14:30:00,whatsapp,46.7,45.08,1.62,269.4,30.1,33.0
SC-101,2026-06-30 14:30:00,email,32.96,31.92,1.04,202.6,45.9,23.76
SC-101,2026-06-30 14:30:00,forms,21.98,20.16,1.81,240.0,85.0,14.66
SC-101,2026-06-30 14:30:00,chat,30.22,28.9,1.31,221.6,6.7,20.97
SC-101,2026-06-30 15:00:00,phone,190.67,178.87,11.81,468.6,13.4,109.69
SC-101,2026-06-30 15:00:00,web,56.08,53.89,2.19,220.8,61.8,36.75
SC-101,2026-06-30 15:00:00,whatsapp,47.67,47.26,0.41,261.0,19.4,32.29
SC-101,2026-06-30 15:00:00,email,33.65,31.56,2.09,269.9,63.4,22.47
SC-101,2026-06-30 15:00:00,forms,22.43,21.82,0.62,263.1,36.8,15.43
SC-101,2026-06-30 15:00:00,chat,30.84,29.23,1.61,229.1,2.0,21.11
SC-101,2026-06-30 15:30:00,phone,156.47,152.12,4.35,461.5,5.6,89.79
SC-101,2026-06-30 15:30:00,web,46.02,44.0,2.02,231.2,90.7,32.55
SC-101,2026-06-30 15:30:00,whatsapp,39.12,37.21,1.9,238.0,26.0,28.14
SC-101,2026-06-30 15:30:00,email,27.61,27.02,0.6,254.7,59.6,19.41
SC-101,2026-06-30 15:30:00,forms,18.41,17.77,0.64,268.4,43.0,12.24
SC-101,2026-06-30 15:30:00,chat,25.31,24.25,1.06,226.2,6.3,16.07
SC-101,2026-06-30 16:00:00,phone,173.35,148.79,24.56,401.6,34.5,89.73
SC-101,2026-06-30 16:00:00,web,50.98,48.63,2.35,250.0,44.0,35.48
SC-101,2026-06-30 16:00:00,whatsapp,43.34,41.13,2.21,226.1,64.5,29.01
SC-101,2026-06-30 16:00:00,email,30.59,29.09,1.5,217.8,38.8,19.41
SC-101,2026-06-30 16:00:00,forms,20.39,19.86,0.53,214.8,33.0,14.63
SC-101,2026-06-30 16:00:00,chat,28.04,27.14,0.9,242.4,28.1,20.26
SC-101,2026-06-30 16:30:00,phone,140.7,139.87,0.82,422.8,1.0,84.64
SC-101,2026-06-30 16:30:00,web,41.38,39.46,1.92,192.8,36.3,27.72
SC-101,2026-06-30 16:30:00,whatsapp,35.17,33.41,1.77,241.3,69.8,23.97
SC-101,2026-06-30 16:30:00,email,24.83,23.77,1.06,227.6,34.5,17.74
SC-101,2026-06-30 16:30:00,forms,16.55,16.4,0.15,232.5,34.5,11.38
SC-101,2026-06-30 16:30:00,chat,22.76,21.6,1.15,227.1,56.3,15.34
SC-101,2026-06-30 17:00:00,phone,115.83,115.57,0.26,427.8,0.6,69.23
SC-101,2026-06-30 17:00:00,web,34.07,33.2,0.87,253.2,29.0,22.32
SC-101,2026-06-30 17:00:00,whatsapp,28.96,27.46,1.5,197.9,58.6,20.6
SC-101,2026-06-30 17:00:00,email,20.44,19.38,1.06,221.9,23.9,13.23
SC-101,2026-06-30 17:00:00,forms,13.63,12.67,0.96,242.7,27.2,9.42
SC-101,2026-06-30 17:00:00,chat,18.74,18.43,0.31,265.8,28.4,12.96
SC-101,2026-06-30 17:30:00,phone,107.53,106.26,1.27,429.9,2.3,64.84
SC-101,2026-06-30 17:30:00,web,31.63,30.98,0.65,249.9,26.6,23.23
SC-101,2026-06-30 17:30:00,whatsapp,26.88,26.06,0.82,272.9,44.4,18.09
SC-101,2026-06-30 17:30:00,email,18.98,18.98,0.0,191.7,29.4,13.35
SC-101,2026-06-30 17:30:00,forms,12.65,12.26,0.39,192.5,35.1,8.53
SC-101,2026-06-30 17:30:00,chat,17.39,17.17,0.22,229.0,31.0,12.42
SC-101,2026-06-30 18:00:00,phone,85.86,85.49,0.37,433.3,0.9,49.33
SC-101,2026-06-30 18:00:00,web,25.25,24.31,0.95,255.0,43.6,16.83
SC-101,2026-06-30 18:00:00,whatsapp,21.46,20.31,1.16,227.9,73.6,15.1
SC-101,2026-06-30 18:00:00,email,15.15,14.67,0.48,235.3,42.7,11.13
SC-101,2026-06-30 18:00:00,forms,10.1,10.1,0.0,219.5,62.4,6.81
SC-101,2026-06-30 18:00:00,chat,13.89,13.52,0.36,215.0,52.9,9.29
SC-101,2026-06-30 18:30:00,phone,93.12,82.07,11.05,392.6,26.2,50.44
SC-101,2026-06-30 18:30:00,web,27.39,25.71,1.68,245.6,30.8,18.29
SC-101,2026-06-30 18:30:00,whatsapp,23.28,22.29,0.99,230.6,46.8,15.9
SC-101,2026-06-30 18:30:00,email,16.43,16.1,0.33,261.9,52.8,11.87
SC-101,2026-06-30 18:30:00,forms,10.96,10.54,0.42,217.4,34.3,7.64
SC-101,2026-06-30 18:30:00,chat,15.06,14.45,0.61,232.3,80.1,9.73
SC-101,2026-06-30 19:00:00,phone,63.46,62.71,0.75,372.1,2.5,35.39
SC-101,2026-06-30 19:00:00,web,18.66,17.81,0.86,249.6,63.9,12.06
SC-101,2026-06-30 19:00:00,whatsapp,15.86,15.38,0.48,209.0,29.2,10.9
SC-101,2026-06-30 19:00:00,email,11.2,10.29,0.91,216.5,55.9,7.55
SC-101,2026-06-30 19:00:00,forms,7.47,7.11,0.36,238.5,28.0,5.34
SC-101,2026-06-30 19:00:00,chat,10.27,9.84,0.42,241.6,54.5,7.23
SC-101,2026-06-30 19:30:00,phone,63.17,60.43,2.74,377.4,9.6,38.46
SC-101,2026-06-30 19:30:00,web,18.58,18.09,0.49,195.2,35.2,12.99
SC-101,2026-06-30 19:30:00,whatsapp,15.79,15.31,0.48,234.2,41.8,10.86
SC-101,2026-06-30 19:30:00,email,11.15,10.96,0.19,247.4,28.5,7.6
SC-101,2026-06-30 19:30:00,forms,7.43,7.05,0.39,212.7,33.5,5.52
SC-101,2026-06-30 19:30:00,chat,10.22,9.76,0.46,227.9,46.7,7.36
SC-101,2026-06-30 20:00:00,phone,56.41,55.08,1.33,442.5,5.4,33.74
SC-101,2026-06-30 20:00:00,web,16.59,16.08,0.51,197.7,57.5,10.82
SC-101,2026-06-30 20:00:00,whatsapp,14.1,13.62,0.49,255.7,49.1,9.61
SC-101,2026-06-30 20:00:00,email,9.95,9.49,0.47,202.5,35.8,6.76
SC-101,2026-06-30 20:00:00,forms,6.64,6.31,0.32,224.5,61.1,4.46
SC-101,2026-06-30 20:00:00,chat,9.12,8.92,0.2,176.6,28.8,6.65
SC-101,2026-06-30 20:30:00,phone,54.35,41.52,12.83,435.0,53.1,24.96
SC-101,2026-06-30 20:30:00,web,15.98,15.87,0.11,283.2,43.4,11.5
SC-101,2026-06-30 20:30:00,whatsapp,13.59,12.82,0.76,211.8,52.8,9.29
SC-101,2026-06-30 20:30:00,email,9.59,9.19,0.4,186.8,41.6,6.41
SC-101,2026-06-30 20:30:00,forms,6.39,6.23,0.16,223.2,18.8,4.48
SC-101,2026-06-30 20:30:00,chat,8.79,8.54,0.26,190.3,55.4,6.16
SC-101,2026-06-30 21:00:00,phone,40.41,40.06,0.35,449.0,2.1,24.94
SC-101,2026-06-30 21:00:00,web,11.88,11.52,0.36,207.8,32.0,8.21
SC-101,2026-06-30 21:00:00,whatsapp,10.1,9.82,0.29,239.6,32.7,7.11
SC-101,2026-06-30 21:00:00,email,7.13,6.98,0.15,212.1,19.8,5.0
SC-101,2026-06-30 21:00:00,forms,4.75,4.6,0.15,241.4,64.2,3.14
SC-101,2026-06-30 21:00:00,chat,6.54,6.19,0.34,246.2,24.5,4.46
SC-101,2026-06-30 21:30:00,phone,44.52,33.36,11.16,398.9,48.6,20.67
SC-101,2026-06-30 21:30:00,web,13.09,12.64,0.46,217.1,38.2,8.66
SC-101,2026-06-30 21:30:00,whatsapp,11.13,10.54,0.59,250.8,69.5,7.62
SC-101,2026-06-30 21:30:00,email,7.86,7.74,0.11,195.9,61.7,5.42
SC-101,2026-06-30 21:30:00,forms,5.24,4.98,0.26,206.5,41.6,3.67
SC-101,2026-06-30 21:30:00,chat,7.2,6.89,0.32,240.2,30.8,5.07
SC-101,2026-06-30 22:00:00,phone,43.96,29.7,14.26,400.8,92.0,17.33
SC-101,2026-06-30 22:00:00,web,12.93,12.54,0.38,239.5,32.8,9.3
SC-101,2026-06-30 22:00:00,whatsapp,10.99,10.49,0.5,194.3,32.4,7.47
SC-101,2026-06-30 22:00:00,email,7.76,7.43,0.33,204.6,35.8,5.64
SC-101,2026-06-30 22:00:00,forms,5.17,4.99,0.19,216.7,54.8,3.62
SC-101,2026-06-30 22:00:00,chat,7.11,6.78,0.33,247.4,38.3,4.84
SC-101,2026-06-30 22:30:00,phone,36.76,35.82,0.94,432.8,5.1,21.46
SC-101,2026-06-30 22:30:00,web,10.81,10.3,0.51,187.4,30.2,7.33
SC-101,2026-06-30 22:30:00,whatsapp,9.19,8.77,0.42,270.1,59.6,6.35
SC-101,2026-06-30 22:30:00,email,6.49,6.49,0.0,228.2,44.8,4.78
SC-101,2026-06-30 22:30:00,forms,4.33,4.16,0.17,231.5,32.2,2.93
SC-101,2026-06-30 22:30:00,chat,5.95,5.71,0.24,193.2,72.4,3.97
SC-101,2026-06-30 23:00:00,phone,38.01,34.22,3.79,408.5,20.0,19.76
SC-101,2026-06-30 23:00:00,web,11.18,11.05,0.13,195.6,56.6,7.01
SC-101,2026-06-30 23:00:00,whatsapp,9.5,9.23,0.27,184.8,45.4,5.85
SC-101,2026-06-30 23:00:00,email,6.71,6.35,0.36,228.6,64.2,4.51
SC-101,2026-06-30 23:00:00,forms,4.47,4.28,0.19,238.2,42.4,3.12
SC-101,2026-06-30 23:00:00,chat,6.15,5.91,0.23,200.6,9.4,4.3
SC-101,2026-06-30 23:30:00,phone,30.12,29.72,0.4,384.7,2.4,19.52
SC-101,2026-06-30 23:30:00,web,8.86,8.53,0.33,217.7,35.7,6.22
SC-101,2026-06-30 23:30:00,whatsapp,7.53,7.23,0.3,218.6,55.9,4.98
SC-101,2026-06-30 23:30:00,email,5.32,5.18,0.14,240.0,74.9,3.24
SC-101,2026-06-30 23:30:00,forms,3.54,3.44,0.1,200.9,56.4,2.37
SC-101,2026-06-30 23:30:00,chat,4.87,4.64,0.23,226.9,51.8,3.35
SC-101,2026-07-01 00:00:00,phone,29.68,28.59,1.08,450.1,8.2,18.01
SC-101,2026-07-01 00:00:00,web,8.73,8.29,0.44,216.4,39.7,6.25
SC-101,2026-07-01 00:00:00,whatsapp,7.42,6.95,0.47,197.5,27.1,4.49
SC-101,2026-07-01 00:00:00,email,5.24,4.96,0.27,240.1,27.1,3.44
SC-101,2026-07-01 00:00:00,forms,3.49,3.44,0.05,226.1,22.9,2.47
SC-101,2026-07-01 00:00:00,chat,4.8,4.68,0.13,209.7,68.8,3.28
SC-101,2026-07-01 00:30:00,phone,33.59,28.57,5.02,434.3,26.4,18.08
SC-101,2026-07-01 00:30:00,web,9.88,9.71,0.17,235.6,31.4,6.98
SC-101,2026-07-01 00:30:00,whatsapp,8.4,8.04,0.35,224.5,45.8,5.72
SC-101,2026-07-01 00:30:00,email,5.93,5.58,0.35,184.7,60.6,3.9
SC-101,2026-07-01 00:30:00,forms,3.95,3.8,0.16,186.9,48.7,2.94
SC-101,2026-07-01 00:30:00,chat,5.43,5.35,0.08,203.7,27.2,3.68
SC-101,2026-07-01 01:00:00,phone,35.49,28.59,6.9,441.0,47.6,16.66
SC-101,2026-07-01 01:00:00,web,10.44,9.93,0.51,204.0,65.9,7.26
SC-101,2026-07-01 01:00:00,whatsapp,8.87,8.56,0.31,248.8,34.8,6.07
SC-101,2026-07-01 01:00:00,email,6.26,5.97,0.29,173.3,19.2,4.12
SC-101,2026-07-01 01:00:00,forms,4.18,4.08,0.09,230.6,20.7,2.86
SC-101,2026-07-01 01:00:00,chat,5.74,5.41,0.33,232.3,63.5,4.07
SC-101,2026-07-01 01:30:00,phone,30.31,28.8,1.51,365.2,9.2,18.9
